texto,calificacion,lugar,categoria,fuente
"Muy bonitas las instalaciones, las aves que andan paseando por el lugar, la comodidad de sus camas y la atención del personal Todo nos gustó",5,Hotel Roca Negra del Arenal,alojamiento,booking
"El lugar es muy bonito con mucho jardín y animales, el ambiente es muy tranquilo y las camas son muy cómodas",5,Hotel Roca Negra del Arenal,alojamiento,booking
La calidez del lugar y las personas.,5,Hotel Roca Negra del Arenal,alojamiento,booking
El jacuzzi y la piscina. La ubicación y la atención de Eugenia. La zona de café.,5,Hotel Roca Negra del Arenal,alojamiento,booking
Todas las zonas impolutas y muy limpias. El personal es maravilloso,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Agradable lugar, muy buena atención de las chicas de recepción. Piscina agradezco, hidromasaje exterior agradable, en general todos los espacios exteriores muy bien. Recomendación no olvidarse de REPELENTE. Tv un poco pequeña, no tenga crema de enjuague para el cabello.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"El personal, en especial Elisabeth que nos trató como si estuviéramos en casa. 
Y las vistas al volcán que son inmejorables",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Ubicación e instalaciones La recepcionista que nos recibio fue la peor de todo el viaje. Poco amable y sin aportar información. Sin embargo, el al dia siguiente encontramos a otra que era todo lo contrario, encantadora",5,Hotel Roca Negra del Arenal,alojamiento,booking
Muy cómodo Todo positivo,5,Hotel Roca Negra del Arenal,alojamiento,booking
Muy bien ambiente natural  tiene de todo  hasta animales,5,Hotel Roca Negra del Arenal,alojamiento,booking
"La ubicación fue lo mejor a pesar del ruido de la carretera que estaba al costado de las habitaciones El trato del personal que atiende en el comedor es pésimo y por 8 dólares el desayuno, mejor lo evito y como fuera.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"El hotel superó las expectativas, muy bonitas las instalaciones con espacios separados para mayor privacidad y mucha vegetación, los desayunos muy buenos; y las habitaciones super cómodas. Como un punto de mejora en las habitaciones donde el inodoro esta aparte de la ducha podrían colocar una puerta a la ducha y así poder usar ambos espacios simultáneamente.",5,Hotel Roca Negra del Arenal,alojamiento,booking
El ambiente y el personal Todo excelente,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Desde la habitación hemos visto unas vistas maravillosas al volcán, con suerte despejado. Los colibrí comiendo en las flores justo delante nuestra..tucanes y el personal muy agradable",5,Hotel Roca Negra del Arenal,alojamiento,booking
Increíble todo! El personal un AMOR Asienore dispuestos a colaborar! El hotel SÚPER relajado! Impecable con una lugar para tomar un café o té cortesía del alojamiento divino! Con animales a tu alrededores disfrutable al máximo! NADA,5,Hotel Roca Negra del Arenal,alojamiento,booking
"La habitación privada fue genial, con un porchecito para disfrutar de las vistas. El baño, la cama súper grande y cómoda hicieron que estuviéramos muy cómodos En el desayuno hacían esperar bastante. No vayas con prisa",5,Hotel Roca Negra del Arenal,alojamiento,booking
"La vista es excelente
EL baño de la habitacion muy grande
Comodidad de la cama No tiene desayuno incluido",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Ubicación, servicio al cliente, la habitación con cómoda muy cómoda y el desayuno muy rico",5,Hotel Roca Negra del Arenal,alojamiento,booking
"El alojamiento está bien ubicado, cercano a todo. La atención del personal fue excelente en todo momento, en especial Elizabeth, quien respondió todas nuestras dudas. En la mañana sirven un buen desayuno por 8 dólares. Las habitaciones están un poco antiguas, les falta una remodelación. Por ejemplo, el aire acondicionado emite mucho ruido.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"La limpieza No incluye desayuno, y el café que se ofrece no queda en el frasco",5,Hotel Roca Negra del Arenal,alojamiento,booking
Me encantó. Fui con mi familia y superó con creces lo que esperábamos del sitio.,5,Hotel Roca Negra del Arenal,alojamiento,booking
"El hotel superó mis expectativas. Tiene un jardín enorme, las habitaciones son muy grandes y tranquilas. Tiene diversas zonas: de juegos, piscina con jacuzzi, pequeña cocina para tomar café, etc. El personal de recepción muy amable. Está situado a unos dos kilómetros del centro, por lo que es muy tranquilo. También hay varios restaurantes por la zona.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Me gustaron las instalaciones, la comodidad y estar rodeado de verde . Se puede disfrutar de las mañanas donde el sonido de los pájaros es la mejor melodía para desconectarse. Además el personal es muy amable, seguramente volveré!",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Muy cómodo, tiene un área para poder calentar agua, hacer café, licuados, disponible las 24hs.
Destaco la amabilidad y calidez de Elizabeth, trabaja en recepción, fue un encanto conocerla",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Todo, es muy linda Se escuchaba mucho entre habitaciones",5,Hotel Roca Negra del Arenal,alojamiento,booking
La ubicación y sobre todo el hotel en si que parece sacado de una película Por ahí que no se pueda pagar con tarjeta y sea solo efectivo. Nada más!,5,Hotel Roca Negra del Arenal,alojamiento,booking
Excelente ubicación e instalaciones,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Este hotel es de lo mejor de la Fortuna. Las habitaciones son muy lindas y limpias. La piscina está limpia, tiene jacuzzi y otras amenidades. Lleno de arbolitos y naturaleza.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Qué joya de lugar! Cerca del centro de La Fortuna, una habitación enorme con una cama gigante, piscina, jacuzzi, desayuno super barato y rico…excelente servicio también. Súper recomendado! Nada! Todo nos encantó 😃",5,Hotel Roca Negra del Arenal,alojamiento,booking
"El personal es súper amable Uufffffff demasiado lindas las habitaciones y el cuidado de los jardines 
Todo todo limpio y en orden",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Los jardines, la piscina, laa vistas al volcán...la responsable del establecimiento Nada",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Camas, hotel muy bonito, personal muy amable. No funcionaba nada bien el wifi desde la habitación ni en la mayoría de puntos del complejo.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Preciosos bungalows e instalaciones. El personal súper amable y atento, prestaban todo tipo de ayuda y recomendación. Ubicación perfecta para ir a la catarata y al volcán arenal.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"La habitaciones impecables, espaciosa, cama súper confortable todo lo necesario  para disfrutar y descansar de la mejor forma. No tengo queja alguna",5,Hotel Roca Negra del Arenal,alojamiento,booking
