texto,calificacion,lugar,categoria,fuente,idioma_comentario,comentarios_espanol,emojis
"Muy bonitas las instalaciones, las aves que andan paseando por el lugar, la comodidad de sus camas y la atención del personal Todo nos gustó",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Muy bonitas las instalaciones, las aves que andan paseando por el lugar, la comodidad de sus camas y la atención del personal Todo nos gustó",
"El lugar es muy bonito con mucho jardín y animales, el ambiente es muy tranquilo y las camas son muy cómodas",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"El lugar es muy bonito con mucho jardín y animales, el ambiente es muy tranquilo y las camas son muy cómodas",
La calidez del lugar y las personas.,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,La calidez del lugar y las personas.,
El jacuzzi y la piscina. La ubicación y la atención de Eugenia. La zona de café.,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,El jacuzzi y la piscina. La ubicación y la atención de Eugenia. La zona de café.,
Todas las zonas impolutas y muy limpias. El personal es maravilloso,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Todas las zonas impolutas y muy limpias. El personal es maravilloso,
"Agradable lugar, muy buena atención de las chicas de recepción. Piscina agradezco, hidromasaje exterior agradable, en general todos los espacios exteriores muy bien. Recomendación no olvidarse de REPELENTE. Tv un poco pequeña, no tenga crema de enjuague para el cabello.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Agradable lugar, muy buena atención de las chicas de recepción. Piscina agradezco, hidromasaje exterior agradable, en general todos los espacios exteriores muy bien. Recomendación no olvidarse de REPELENTE. Tv un poco pequeña, no tenga crema de enjuague para el cabello.",
"El personal, en especial Elisabeth que nos trató como si estuviéramos en casa. 
Y las vistas al volcán que son inmejorables",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"El personal, en especial Elisabeth que nos trató como si estuviéramos en casa. 
Y las vistas al volcán que son inmejorables",
"Ubicación e instalaciones La recepcionista que nos recibio fue la peor de todo el viaje. Poco amable y sin aportar información. Sin embargo, el al dia siguiente encontramos a otra que era todo lo contrario, encantadora",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Ubicación e instalaciones La recepcionista que nos recibio fue la peor de todo el viaje. Poco amable y sin aportar información. Sin embargo, el al dia siguiente encontramos a otra que era todo lo contrario, encantadora",
Muy cómodo Todo positivo,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Muy cómodo Todo positivo,
Muy bien ambiente natural  tiene de todo  hasta animales,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Muy bien ambiente natural  tiene de todo  hasta animales,
