lugar,texto,calificacion,categoria,fuente,idioma_comentario,comentarios_espanol,emojis,penntreebank,universalpos
Playa Manuel Antonio,"Manuel Antonio Beach is absolutely stunning. The waves were putting on a show, horses were casually walking down the shoreline like they owned the place, and even the hermit crabs seemed to be enjoying the vacation. The scenery looks like a postcard but with better sound effects. Just be prepared the ocean may lovingly throw you around a few times before welcoming you. Would definitely come back!",5.0,parque,google_maps,en,"La playa de Manuel Antonio es absolutamente impresionante. Las olas estaban dando un espectáculo, los caballos caminaban casualmente por la costa como si fueran dueños del lugar, e incluso los cangrejos ermitaños parecían estar disfrutando de las vacaciones. El paisaje parece una postal pero con mejores efectos de sonido. Solo prepárate, el océano puede arrojarte amorosamente unas cuantas veces antes de darte la bienvenida. ¡Definitivamente regresaría!",,"[('La', 'NNP'), ('playa', 'FW'), ('de', 'FW'), ('Manuel', 'NNP'), ('Antonio', 'NNP'), ('es', 'VBZ'), ('absolutamente', 'JJ'), ('impresionante', 'NN'), ('.', '.'), ('Las', 'NNP'), ('olas', 'JJ'), ('estaban', 'NN'), ('dando', 'NN'), ('un', 'JJ'), ('espectáculo', 'NN'), (',', ','), ('los', 'JJ'), ('caballos', 'JJ'), ('caminaban', 'NN'), ('casualmente', 'NN'), ('por', 'NN'), ('la', 'NN'), ('costa', 'NN'), ('como', 'NN'), ('si', 'NN'), ('fueran', 'VBD'), ('dueños', 'JJ'), ('del', 'NN'), ('lugar', 'NN'), (',', ','), ('e', 'FW'), ('incluso', 'JJ'), ('los', 'NN'), ('cangrejos', 'NN'), ('ermitaños', 'NN'), ('parecían', 'NN'), ('estar', 'FW'), ('disfrutando', 'NN'), ('de', 'IN'), ('las', 'FW'), ('vacaciones', 'NNS'), ('.', '.'), ('El', 'NNP'), ('paisaje', 'JJ'), ('parece', 'NN'), ('una', 'JJ'), ('postal', 'JJ'), ('pero', 'NN'), ('con', 'NN'), ('mejores', 'NNS'), ('efectos', 'VBP'), ('de', 'IN'), ('sonido', 'NN'), ('.', '.'), ('Solo', 'NNP'), ('prepárate', 'NN'), (',', ','), ('el', 'JJ'), ('océano', 'NN'), ('puede', 'NN'), ('arrojarte', 'NN'), ('amorosamente', 'NN'), ('unas', 'JJ'), ('cuantas', 'NNS'), ('veces', 'NNS'), ('antes', 'VBZ'), ('de', 'IN'), ('darte', 'FW'), ('la', 'FW'), ('bienvenida', 'FW'), ('.', '.'), ('¡Definitivamente', 'CC'), ('regresaría', 'NN'), ('!', '.')]","[('La', 'DET', 'el'), ('playa', 'NOUN', 'playa'), ('de', 'ADP', 'de'), ('Manuel', 'PROPN', 'Manuel'), ('Antonio', 'PROPN', 'Antonio'), ('es', 'AUX', 'ser'), ('absolutamente', 'ADV', 'absolutamente'), ('impresionante', 'ADJ', 'impresionante'), ('.', 'PUNCT', '.'), ('Las', 'DET', 'el'), ('olas', 'NOUN', 'ola'), ('estaban', 'AUX', 'estar'), ('dando', 'VERB', 'dar'), ('un', 'DET', 'uno'), ('espectáculo', 'NOUN', 'espectáculo'), (',', 'PUNCT', ','), ('los', 'DET', 'el'), ('caballos', 'NOUN', 'caballo'), ('caminaban', 'VERB', 'caminar'), ('casualmente', 'ADV', 'casualmente'), ('por', 'ADP', 'por'), ('la', 'DET', 'el'), ('costa', 'NOUN', 'costa'), ('como', 'SCONJ', 'como'), ('si', 'SCONJ', 'si'), ('fueran', 'AUX', 'ser'), ('dueños', 'NOUN', 'dueño'), ('del', 'ADP', 'del'), ('lugar', 'NOUN', 'lugar'), (',', 'PUNCT', ','), ('e', 'CCONJ', 'e'), ('incluso', 'ADV', 'incluso'), ('los', 'DET', 'el'), ('cangrejos', 'NOUN', 'cangrejo'), ('ermitaños', 'ADJ', 'ermitaño'), ('parecían', 'VERB', 'parecer'), ('estar', 'AUX', 'estar'), ('disfrutando', 'VERB', 'disfrutar'), ('de', 'ADP', 'de'), ('las', 'DET', 'el'), ('vacaciones', 'NOUN', 'vacación'), ('.', 'PUNCT', '.'), ('El', 'DET', 'el'), ('paisaje', 'NOUN', 'paisaje'), ('parece', 'VERB', 'parecer'), ('una', 'DET', 'uno'), ('postal', 'ADJ', 'postal'), ('pero', 'CCONJ', 'pero'), ('con', 'ADP', 'con'), ('mejores', 'ADJ', 'mejor'), ('efectos', 'NOUN', 'efecto'), ('de', 'ADP', 'de'), ('sonido', 'NOUN', 'sonido'), ('.', 'PUNCT', '.'), ('Solo', 'PROPN', 'Solo'), ('prepárate', 'NOUN', 'prepárate'), (',', 'PUNCT', ','), ('el', 'DET', 'el'), ('océano', 'NOUN', 'océano'), ('puede', 'AUX', 'poder'), ('arrojarte', 'VERB', 'arrojarte'), ('amorosamente', 'NOUN', 'amorosamente'), ('unas', 'DET', 'uno'), ('cuantas', 'ADJ', 'cuanta'), ('veces', 'NOUN', 'vez'), ('antes', 'ADV', 'antes'), ('de', 'ADP', 'de'), ('darte', 'NOUN', 'darte'), ('la', 'DET', 'el'), ('bienvenida', 'NOUN', 'bienvenida'), ('.', 'PUNCT', '.'), ('¡', 'PUNCT', '¡'), ('Definitivamente', 'ADV', 'definitivamente'), ('regresaría', 'VERB', 'regresar'), ('!', 'PUNCT', '!')]"
Playa Manuel Antonio,Una de las dos playas que están separadas en el Parque Nacional de Manuel Antonio por un tómbolo de arena. Es en la que más gente se baña y es segura para dejar tus pertenencias (por lo general). También puedes ver iguanas en la sombra de los árboles! 😊,5.0,parque,google_maps,es,Una de las dos playas que están separadas en el Parque Nacional de Manuel Antonio por un tómbolo de arena. Es en la que más gente se baña y es segura para dejar tus pertenencias (por lo general). También puedes ver iguanas en la sombra de los árboles!,😊,"[('Una', 'NNP'), ('de', 'FW'), ('las', 'FW'), ('dos', 'FW'), ('playas', 'FW'), ('que', 'NN'), ('están', 'FW'), ('separadas', 'NNS'), ('en', 'IN'), ('el', 'NN'), ('Parque', 'NNP'), ('Nacional', 'NNP'), ('de', 'FW'), ('Manuel', 'NNP'), ('Antonio', 'NNP'), ('por', 'NN'), ('un', 'JJ'), ('tómbolo', 'NN'), ('de', 'IN'), ('arena', 'FW'), ('.', '.'), ('Es', 'NNP'), ('en', 'IN'), ('la', 'FW'), ('que', 'FW'), ('más', 'FW'), ('gente', 'FW'), ('se', 'FW'), ('baña', 'FW'), ('y', 'FW'), ('es', 'FW'), ('segura', 'NN'), ('para', 'NN'), ('dejar', 'NN'), ('tus', 'NN'), ('pertenencias', 'NN'), ('(', '('), ('por', 'JJ'), ('lo', 'RB'), ('general', 'JJ'), (')', ')'), ('.', '.'), ('También', 'NNP'), ('puedes', 'VBZ'), ('ver', 'RB'), ('iguanas', 'JJ'), ('en', 'NN'), ('la', 'FW'), ('sombra', 'FW'), ('de', 'FW'), ('los', 'FW'), ('árboles', 'NNS'), ('!', '.')]","[('Una', 'PRON', 'uno'), ('de', 'ADP', 'de'), ('las', 'DET', 'el'), ('dos', 'NUM', 'dos'), ('playas', 'NOUN', 'playa'), ('que', 'PRON', 'que'), ('están', 'AUX', 'estar'), ('separadas', 'ADJ', 'separado'), ('en', 'ADP', 'en'), ('el', 'DET', 'el'), ('Parque', 'PROPN', 'Parque'), ('Nacional', 'PROPN', 'Nacional'), ('de', 'ADP', 'de'), ('Manuel', 'PROPN', 'Manuel'), ('Antonio', 'PROPN', 'Antonio'), ('por', 'ADP', 'por'), ('un', 'DET', 'uno'), ('tómbolo', 'NOUN', 'tómbolo'), ('de', 'ADP', 'de'), ('arena', 'NOUN', 'arena'), ('.', 'PUNCT', '.'), ('Es', 'AUX', 'ser'), ('en', 'ADP', 'en'), ('la', 'DET', 'el'), ('que', 'PRON', 'que'), ('más', 'ADV', 'más'), ('gente', 'NOUN', 'gente'), ('se', 'PRON', 'él'), ('baña', 'VERB', 'bañar'), ('y', 'CCONJ', 'y'), ('es', 'AUX', 'ser'), ('segura', 'ADJ', 'seguro'), ('para', 'ADP', 'para'), ('dejar', 'VERB', 'dejar'), ('tus', 'DET', 'tu'), ('pertenencias', 'NOUN', 'pertenencia'), ('(', 'PUNCT', '('), ('por', 'ADP', 'por'), ('lo', 'PRON', 'él'), ('general', 'NOUN', 'general'), (')', 'PUNCT', ')'), ('.', 'PUNCT', '.'), ('También', 'ADV', 'también'), ('puedes', 'AUX', 'poder'), ('ver', 'VERB', 'ver'), ('iguanas', 'ADJ', 'iguana'), ('en', 'ADP', 'en'), ('la', 'DET', 'el'), ('sombra', 'NOUN', 'sombra'), ('de', 'ADP', 'de'), ('los', 'DET', 'el'), ('árboles', 'NOUN', 'árbol'), ('!', 'PUNCT', '!')]"
Playa Manuel Antonio,Plage exceptionnelle accessible uniquement en payant l'entrée au parc.,5.0,parque,google_maps,fr,Playa excepcional a la que sólo se puede acceder pagando la entrada al parque.,,"[('Playa', 'NNP'), ('excepcional', 'VBZ'), ('a', 'DT'), ('la', 'NN'), ('que', 'NN'), ('sólo', 'NN'), ('se', 'NN'), ('puede', 'NN'), ('acceder', 'NN'), ('pagando', 'NN'), ('la', 'FW'), ('entrada', 'FW'), ('al', 'NN'), ('parque', 'NN'), ('.', '.')]","[('Playa', 'PROPN', 'Playa'), ('excepcional', 'ADJ', 'excepcional'), ('a', 'ADP', 'a'), ('la', 'DET', 'el'), ('que', 'PRON', 'que'), ('sólo', 'ADV', 'sólo'), ('se', 'PRON', 'él'), ('puede', 'AUX', 'poder'), ('acceder', 'VERB', 'acceder'), ('pagando', 'VERB', 'pagar'), ('la', 'DET', 'el'), ('entrada', 'NOUN', 'entrada'), ('al', 'ADP', 'al'), ('parque', 'NOUN', 'parque'), ('.', 'PUNCT', '.')]"
Playa Manuel Antonio,For any tourist or even locals MAB is incredible.  CR Government managed.  Worth the trip in my opinion,5.0,parque,google_maps,en,"Para cualquier turista o incluso local, MAB es increíble.  Gobierno de CR gestionado.  En mi opinión, vale la pena el viaje.",,"[('Para', 'NNP'), ('cualquier', 'NN'), ('turista', 'NN'), ('o', 'JJ'), ('incluso', 'JJ'), ('local', 'JJ'), (',', ','), ('MAB', 'NNP'), ('es', 'VBZ'), ('increíble', 'JJ'), ('.', '.'), ('Gobierno', 'NNP'), ('de', 'IN'), ('CR', 'NNP'), ('gestionado', 'NN'), ('.', '.'), ('En', 'NNP'), ('mi', 'NN'), ('opinión', 'NN'), (',', ','), ('vale', 'JJ'), ('la', 'FW'), ('pena', 'FW'), ('el', 'FW'), ('viaje', 'NN'), ('.', '.')]","[('Para', 'ADP', 'para'), ('cualquier', 'DET', 'cualquiera'), ('turista', 'NOUN', 'turista'), ('o', 'CCONJ', 'o'), ('incluso', 'ADV', 'incluso'), ('local', 'ADJ', 'local'), (',', 'PUNCT', ','), ('MAB', 'PROPN', 'MAB'), ('es', 'AUX', 'ser'), ('increíble', 'ADJ', 'increíble'), ('.', 'PUNCT', '.'), (' ', 'SPACE', ' '), ('Gobierno', 'PROPN', 'Gobierno'), ('de', 'ADP', 'de'), ('CR', 'PROPN', 'CR'), ('gestionado', 'ADJ', 'gestionado'), ('.', 'PUNCT', '.'), (' ', 'SPACE', ' '), ('En', 'ADP', 'en'), ('mi', 'DET', 'mi'), ('opinión', 'NOUN', 'opinión'), (',', 'PUNCT', ','), ('vale', 'VERB', 'valer'), ('la', 'DET', 'el'), ('pena', 'NOUN', 'pena'), ('el', 'DET', 'el'), ('viaje', 'NOUN', 'viaje'), ('.', 'PUNCT', '.')]"
Playa Manuel Antonio,"Jolie plage mais pas la plus belle su pays, il y avait beaucoup de monde , nous avons rencontré un alligator vers le poste de police ""coco"" qui se balade dans les parages depuis 20 ans. Les boutiques de souvenirs sont hors de prix malheureusement.",4.0,parque,google_maps,fr,"Bonita playa pero no la más bonita del país, había mucha gente, nos encontramos con un caimán cerca de la comisaría de ""coco"" que anda deambulando desde hace 20 años. Desafortunadamente, las tiendas de souvenirs son demasiado caras.",,"[('Bonita', 'NNP'), ('playa', 'NN'), ('pero', 'NN'), ('no', 'DT'), ('la', 'NN'), ('más', 'FW'), ('bonita', 'JJ'), ('del', 'NN'), ('país', 'NN'), (',', ','), ('había', 'NN'), ('mucha', 'NN'), ('gente', 'NN'), (',', ','), ('nos', 'JJ'), ('encontramos', 'VBP'), ('con', 'JJ'), ('un', 'JJ'), ('caimán', 'NN'), ('cerca', 'NN'), ('de', 'IN'), ('la', 'FW'), ('comisaría', 'FW'), ('de', 'FW'), ('``', '``'), ('coco', 'NN'), (""''"", ""''""), ('que', 'NN'), ('anda', 'VBD'), ('deambulando', 'JJ'), ('desde', 'JJ'), ('hace', 'NN'), ('20', 'CD'), ('años', 'NN'), ('.', '.'), ('Desafortunadamente', 'NNP'), (',', ','), ('las', 'JJ'), ('tiendas', 'NN'), ('de', 'IN'), ('souvenirs', 'FW'), ('son', 'NN'), ('demasiado', 'NN'), ('caras', 'NNS'), ('.', '.')]","[('Bonita', 'PROPN', 'Bonita'), ('playa', 'PROPN', 'playa'), ('pero', 'CCONJ', 'pero'), ('no', 'ADV', 'no'), ('la', 'DET', 'el'), ('más', 'ADV', 'más'), ('bonita', 'ADJ', 'bonito'), ('del', 'ADP', 'del'), ('país', 'NOUN', 'país'), (',', 'PUNCT', ','), ('había', 'AUX', 'haber'), ('mucha', 'DET', 'mucho'), ('gente', 'NOUN', 'gente'), (',', 'PUNCT', ','), ('nos', 'PRON', 'yo'), ('encontramos', 'VERB', 'encontrar'), ('con', 'ADP', 'con'), ('un', 'DET', 'uno'), ('caimán', 'NOUN', 'caimán'), ('cerca', 'ADV', 'cerca'), ('de', 'ADP', 'de'), ('la', 'DET', 'el'), ('comisaría', 'NOUN', 'comisaría'), ('de', 'ADP', 'de'), ('""', 'PUNCT', '""'), ('coco', 'NOUN', 'coco'), ('""', 'PUNCT', '""'), ('que', 'PRON', 'que'), ('anda', 'VERB', 'andar'), ('deambulando', 'VERB', 'deambular'), ('desde', 'ADP', 'desde'), ('hace', 'VERB', 'hacer'), ('20', 'NUM', '20'), ('años', 'NOUN', 'año'), ('.', 'PUNCT', '.'), ('Desafortunadamente', 'ADV', 'desafortunadamente'), (',', 'PUNCT', ','), ('las', 'DET', 'el'), ('tiendas', 'NOUN', 'tienda'), ('de', 'ADP', 'de'), ('souvenirs', 'NOUN', 'souvenirs'), ('son', 'AUX', 'ser'), ('demasiado', 'ADV', 'demasiado'), ('caras', 'NOUN', 'cara'), ('.', 'PUNCT', '.')]"
Playa Manuel Antonio,Really beautiful beach. But watch out for the monkeys — they’ll unzip your backpack and look for snacks!,5.0,parque,google_maps,en,Playa realmente hermosa. Pero ten cuidado con los monos: ¡abrirán la cremallera de tu mochila y buscarán bocadillos!,,"[('Playa', 'NNP'), ('realmente', 'NN'), ('hermosa', 'NN'), ('.', '.'), ('Pero', 'NNP'), ('ten', 'JJ'), ('cuidado', 'NN'), ('con', 'NN'), ('los', 'JJ'), ('monos', 'NNS'), (':', ':'), ('¡abrirán', 'NN'), ('la', 'FW'), ('cremallera', 'NN'), ('de', 'IN'), ('tu', 'FW'), ('mochila', 'FW'), ('y', 'FW'), ('buscarán', 'FW'), ('bocadillos', 'NN'), ('!', '.')]","[('Playa', 'PROPN', 'Playa'), ('realmente', 'ADV', 'realmente'), ('hermosa', 'ADJ', 'hermoso'), ('.', 'PUNCT', '.'), ('Pero', 'CCONJ', 'pero'), ('ten', 'VERB', 'ten'), ('cuidado', 'ADJ', 'cuidado'), ('con', 'ADP', 'con'), ('los', 'DET', 'el'), ('monos', 'NOUN', 'mono'), (':', 'PUNCT', ':'), ('¡', 'PUNCT', '¡'), ('abrirán', 'VERB', 'abrir'), ('la', 'DET', 'el'), ('cremallera', 'NOUN', 'cremallera'), ('de', 'ADP', 'de'), ('tu', 'PROPN', 'tu'), ('mochila', 'PROPN', 'mochila'), ('y', 'CCONJ', 'y'), ('buscarán', 'VERB', 'buscar'), ('bocadillos', 'ADJ', 'bocadillo'), ('!', 'PUNCT', '!')]"
Playa Manuel Antonio,"Me encantó el agua súper transparente habían peces por la orilla de las olas, fui al lado de las piedras y habían un montón de peces, no habían muchas olas a la hora q fui",5.0,parque,google_maps,es,"Me encantó el agua súper transparente habían peces por la orilla de las olas, fui al lado de las piedras y habían un montón de peces, no habían muchas olas a la hora q fui",,"[('Me', 'NNP'), ('encantó', 'VBZ'), ('el', 'JJ'), ('agua', 'JJ'), ('súper', 'NN'), ('transparente', 'NN'), ('habían', 'NN'), ('peces', 'NNS'), ('por', 'VBP'), ('la', 'JJ'), ('orilla', 'FW'), ('de', 'FW'), ('las', 'FW'), ('olas', 'NNS'), (',', ','), ('fui', 'JJ'), ('al', 'NN'), ('lado', 'NN'), ('de', 'IN'), ('las', 'FW'), ('piedras', 'NNS'), ('y', 'VBP'), ('habían', 'JJ'), ('un', 'JJ'), ('montón', 'NN'), ('de', 'IN'), ('peces', 'NNS'), (',', ','), ('no', 'DT'), ('habían', 'NN'), ('muchas', 'VBZ'), ('olas', 'RP'), ('a', 'DT'), ('la', 'NN'), ('hora', 'NN'), ('q', 'NN'), ('fui', 'NN')]","[('Me', 'PRON', 'yo'), ('encantó', 'VERB', 'encantar'), ('el', 'DET', 'el'), ('agua', 'NOUN', 'agua'), ('súper', 'ADP', 'súper'), ('transparente', 'ADJ', 'transparente'), ('habían', 'AUX', 'haber'), ('peces', 'NOUN', 'pez'), ('por', 'ADP', 'por'), ('la', 'DET', 'el'), ('orilla', 'NOUN', 'orilla'), ('de', 'ADP', 'de'), ('las', 'DET', 'el'), ('olas', 'NOUN', 'ola'), (',', 'PUNCT', ','), ('fui', 'AUX', 'ir'), ('al', 'ADP', 'al'), ('lado', 'NOUN', 'lado'), ('de', 'ADP', 'de'), ('las', 'DET', 'el'), ('piedras', 'NOUN', 'piedra'), ('y', 'CCONJ', 'y'), ('habían', 'AUX', 'haber'), ('un', 'DET', 'uno'), ('montón', 'NOUN', 'montón'), ('de', 'ADP', 'de'), ('peces', 'NOUN', 'pez'), (',', 'PUNCT', ','), ('no', 'ADV', 'no'), ('habían', 'AUX', 'haber'), ('muchas', 'DET', 'mucho'), ('olas', 'NOUN', 'ola'), ('a', 'ADP', 'a'), ('la', 'DET', 'el'), ('hora', 'NOUN', 'hora'), ('q', 'CCONJ', 'q'), ('fui', 'AUX', 'ir')]"
Playa Manuel Antonio,Beautifull beaches on this natural Park. Special remark for Playa Gemelas (Twin Beaches),5.0,parque,google_maps,en,Hermosas playas en este parque natural. Comentario especial para Playa Gemelas (Playas Gemelas),,"[('Hermosas', 'NNP'), ('playas', 'NN'), ('en', 'FW'), ('este', 'NN'), ('parque', 'JJ'), ('natural', 'JJ'), ('.', '.'), ('Comentario', 'NNP'), ('especial', 'JJ'), ('para', 'NN'), ('Playa', 'NNP'), ('Gemelas', 'NNP'), ('(', '('), ('Playas', 'NNP'), ('Gemelas', 'NNP'), (')', ')')]","[('Hermosas', 'PROPN', 'Hermosas'), ('playas', 'ADJ', 'playa'), ('en', 'ADP', 'en'), ('este', 'DET', 'este'), ('parque', 'NOUN', 'parque'), ('natural', 'ADJ', 'natural'), ('.', 'PUNCT', '.'), ('Comentario', 'NOUN', 'comentario'), ('especial', 'ADJ', 'especial'), ('para', 'ADP', 'para'), ('Playa', 'PROPN', 'Playa'), ('Gemelas', 'PROPN', 'Gemelas'), ('(', 'PUNCT', '('), ('Playas', 'PROPN', 'Playas'), ('Gemelas', 'PROPN', 'Gemelas'), (')', 'PUNCT', ')')]"
Playa Manuel Antonio,"Paraíso! Dentro de la reserva de encuentra esta joya de arena blanca y un mar que refresca y energiza. Sin dudas, volvería y recomiendo!!",5.0,parque,google_maps,es,"Paraíso! Dentro de la reserva de encuentra esta joya de arena blanca y un mar que refresca y energiza. Sin dudas, volvería y recomiendo!!",,"[('Paraíso', 'NN'), ('!', '.'), ('Dentro', 'NNP'), ('de', 'IN'), ('la', 'FW'), ('reserva', 'FW'), ('de', 'FW'), ('encuentra', 'FW'), ('esta', 'FW'), ('joya', 'FW'), ('de', 'FW'), ('arena', 'FW'), ('blanca', 'FW'), ('y', 'FW'), ('un', 'JJ'), ('mar', 'NN'), ('que', 'NN'), ('refresca', 'NN'), ('y', 'NN'), ('energiza', 'NN'), ('.', '.'), ('Sin', 'NNP'), ('dudas', 'NN'), (',', ','), ('volvería', 'FW'), ('y', 'FW'), ('recomiendo', 'NN'), ('!', '.'), ('!', '.')]","[('Paraíso', 'PROPN', 'Paraíso'), ('!', 'PUNCT', '!'), ('Dentro', 'ADV', 'dentro'), ('de', 'ADP', 'de'), ('la', 'DET', 'el'), ('reserva', 'NOUN', 'reserva'), ('de', 'ADP', 'de'), ('encuentra', 'VERB', 'encontrar'), ('esta', 'DET', 'este'), ('joya', 'NOUN', 'joya'), ('de', 'ADP', 'de'), ('arena', 'NOUN', 'arena'), ('blanca', 'ADJ', 'blanco'), ('y', 'CCONJ', 'y'), ('un', 'DET', 'uno'), ('mar', 'NOUN', 'mar'), ('que', 'PRON', 'que'), ('refresca', 'VERB', 'refrescar'), ('y', 'CCONJ', 'y'), ('energiza', 'PROPN', 'energiza'), ('.', 'PUNCT', '.'), ('Sin', 'ADP', 'sin'), ('dudas', 'NOUN', 'duda'), (',', 'PUNCT', ','), ('volvería', 'VERB', 'volver'), ('y', 'CCONJ', 'y'), ('recomiendo', 'VERB', 'recomeir'), ('!', 'PUNCT', '!'), ('!', 'PUNCT', '!')]"
Playa Manuel Antonio,"Hermosa playa, tener vudoadi con las corrientes, muy limpia",5.0,parque,google_maps,es,"Hermosa playa, tener vudoadi con las corrientes, muy limpia",,"[('Hermosa', 'NNP'), ('playa', 'NN'), (',', ','), ('tener', 'NN'), ('vudoadi', 'JJ'), ('con', 'NN'), ('las', 'NN'), ('corrientes', 'NNS'), (',', ','), ('muy', 'NN'), ('limpia', 'NN')]","[('Hermosa', 'PROPN', 'Hermosa'), ('playa', 'NOUN', 'playa'), (',', 'PUNCT', ','), ('tener', 'VERB', 'tener'), ('vudoadi', 'ADJ', 'vudoadi'), ('con', 'ADP', 'con'), ('las', 'DET', 'el'), ('corrientes', 'NOUN', 'corriente'), (',', 'PUNCT', ','), ('muy', 'ADV', 'mucho'), ('limpia', 'ADJ', 'limpio')]"
