texto,calificacion,lugar,categoria,fuente,idioma_comentario,comentarios_espanol,emojis,penntreebank,universalpos
"Muy bonitas las instalaciones, las aves que andan paseando por el lugar, la comodidad de sus camas y la atención del personal Todo nos gustó",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Muy bonitas las instalaciones, las aves que andan paseando por el lugar, la comodidad de sus camas y la atención del personal Todo nos gustó",,"[('Muy', 'NNP'), ('bonitas', 'NNS'), ('las', 'VBP'), ('instalaciones', 'NNS'), (',', ','), ('las', 'VBP'), ('aves', 'NNS'), ('que', 'JJ'), ('andan', 'JJ'), ('paseando', 'NN'), ('por', 'NN'), ('el', 'NN'), ('lugar', 'NN'), (',', ','), ('la', 'FW'), ('comodidad', 'FW'), ('de', 'FW'), ('sus', 'FW'), ('camas', 'FW'), ('y', 'FW'), ('la', 'FW'), ('atención', 'FW'), ('del', 'FW'), ('personal', 'JJ'), ('Todo', 'NNP'), ('nos', 'NNS'), ('gustó', 'NN')]","[('Muy', 'ADV', 'mucho'), ('bonitas', 'VERB', 'bonitar'), ('las', 'DET', 'el'), ('instalaciones', 'NOUN', 'instalación'), (',', 'PUNCT', ','), ('las', 'DET', 'el'), ('aves', 'NOUN', 'ave'), ('que', 'PRON', 'que'), ('andan', 'VERB', 'andar'), ('paseando', 'VERB', 'pasear'), ('por', 'ADP', 'por'), ('el', 'DET', 'el'), ('lugar', 'NOUN', 'lugar'), (',', 'PUNCT', ','), ('la', 'DET', 'el'), ('comodidad', 'NOUN', 'comodidad'), ('de', 'ADP', 'de'), ('sus', 'DET', 'su'), ('camas', 'NOUN', 'cama'), ('y', 'CCONJ', 'y'), ('la', 'DET', 'el'), ('atención', 'NOUN', 'atención'), ('del', 'ADP', 'del'), ('personal', 'NOUN', 'personal'), ('Todo', 'PROPN', 'Todo'), ('nos', 'PRON', 'yo'), ('gustó', 'VERB', 'gustar')]"
"El lugar es muy bonito con mucho jardín y animales, el ambiente es muy tranquilo y las camas son muy cómodas",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"El lugar es muy bonito con mucho jardín y animales, el ambiente es muy tranquilo y las camas son muy cómodas",,"[('El', 'NNP'), ('lugar', 'NN'), ('es', 'NN'), ('muy', 'NN'), ('bonito', 'NN'), ('con', 'NN'), ('mucho', 'NN'), ('jardín', 'NN'), ('y', 'NN'), ('animales', 'NNS'), (',', ','), ('el', 'VBP'), ('ambiente', 'JJ'), ('es', 'FW'), ('muy', 'FW'), ('tranquilo', 'NN'), ('y', 'NN'), ('las', 'VBZ'), ('camas', 'JJ'), ('son', 'NN'), ('muy', 'NN'), ('cómodas', 'NN')]","[('El', 'DET', 'el'), ('lugar', 'NOUN', 'lugar'), ('es', 'AUX', 'ser'), ('muy', 'ADV', 'mucho'), ('bonito', 'ADJ', 'bonito'), ('con', 'ADP', 'con'), ('mucho', 'DET', 'mucho'), ('jardín', 'NOUN', 'jardín'), ('y', 'CCONJ', 'y'), ('animales', 'NOUN', 'animal'), (',', 'PUNCT', ','), ('el', 'DET', 'el'), ('ambiente', 'NOUN', 'ambiente'), ('es', 'AUX', 'ser'), ('muy', 'ADV', 'mucho'), ('tranquilo', 'ADJ', 'tranquilo'), ('y', 'CCONJ', 'y'), ('las', 'DET', 'el'), ('camas', 'NOUN', 'cama'), ('son', 'AUX', 'ser'), ('muy', 'ADV', 'mucho'), ('cómodas', 'ADJ', 'cómodo')]"
La calidez del lugar y las personas.,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,La calidez del lugar y las personas.,,"[('La', 'NNP'), ('calidez', 'VBZ'), ('del', 'FW'), ('lugar', 'NN'), ('y', 'NN'), ('las', 'NN'), ('personas', 'NN'), ('.', '.')]","[('La', 'DET', 'el'), ('calidez', 'NOUN', 'calidez'), ('del', 'ADP', 'del'), ('lugar', 'NOUN', 'lugar'), ('y', 'CCONJ', 'y'), ('las', 'DET', 'el'), ('personas', 'NOUN', 'persona'), ('.', 'PUNCT', '.')]"
El jacuzzi y la piscina. La ubicación y la atención de Eugenia. La zona de café.,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,El jacuzzi y la piscina. La ubicación y la atención de Eugenia. La zona de café.,,"[('El', 'NNP'), ('jacuzzi', 'NN'), ('y', 'NN'), ('la', 'NN'), ('piscina', 'NN'), ('.', '.'), ('La', 'NNP'), ('ubicación', 'JJ'), ('y', 'NN'), ('la', 'NN'), ('atención', 'FW'), ('de', 'FW'), ('Eugenia', 'NNP'), ('.', '.'), ('La', 'NNP'), ('zona', 'NNP'), ('de', 'IN'), ('café', 'NN'), ('.', '.')]","[('El', 'DET', 'el'), ('jacuzzi', 'NOUN', 'jacuzzi'), ('y', 'CCONJ', 'y'), ('la', 'DET', 'el'), ('piscina', 'NOUN', 'piscina'), ('.', 'PUNCT', '.'), ('La', 'DET', 'el'), ('ubicación', 'NOUN', 'ubicación'), ('y', 'CCONJ', 'y'), ('la', 'DET', 'el'), ('atención', 'NOUN', 'atención'), ('de', 'ADP', 'de'), ('Eugenia', 'PROPN', 'Eugenia'), ('.', 'PUNCT', '.'), ('La', 'DET', 'el'), ('zona', 'NOUN', 'zona'), ('de', 'ADP', 'de'), ('café', 'NOUN', 'café'), ('.', 'PUNCT', '.')]"
Todas las zonas impolutas y muy limpias. El personal es maravilloso,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Todas las zonas impolutas y muy limpias. El personal es maravilloso,,"[('Todas', 'NNP'), ('las', 'VBZ'), ('zonas', 'CD'), ('impolutas', 'NNS'), ('y', 'RB'), ('muy', 'VBP'), ('limpias', 'NNS'), ('.', '.'), ('El', 'NNP'), ('personal', 'JJ'), ('es', 'NN'), ('maravilloso', 'NN')]","[('Todas', 'DET', 'todo'), ('las', 'DET', 'el'), ('zonas', 'NOUN', 'zona'), ('impolutas', 'ADJ', 'impoluta'), ('y', 'CCONJ', 'y'), ('muy', 'ADV', 'mucho'), ('limpias', 'ADJ', 'limpio'), ('.', 'PUNCT', '.'), ('El', 'DET', 'el'), ('personal', 'NOUN', 'personal'), ('es', 'AUX', 'ser'), ('maravilloso', 'ADJ', 'maravilloso')]"
"Agradable lugar, muy buena atención de las chicas de recepción. Piscina agradezco, hidromasaje exterior agradable, en general todos los espacios exteriores muy bien. Recomendación no olvidarse de REPELENTE. Tv un poco pequeña, no tenga crema de enjuague para el cabello.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Agradable lugar, muy buena atención de las chicas de recepción. Piscina agradezco, hidromasaje exterior agradable, en general todos los espacios exteriores muy bien. Recomendación no olvidarse de REPELENTE. Tv un poco pequeña, no tenga crema de enjuague para el cabello.",,"[('Agradable', 'JJ'), ('lugar', 'NN'), (',', ','), ('muy', 'FW'), ('buena', 'FW'), ('atención', 'FW'), ('de', 'FW'), ('las', 'FW'), ('chicas', 'FW'), ('de', 'FW'), ('recepción', 'FW'), ('.', '.'), ('Piscina', 'NNP'), ('agradezco', 'NN'), (',', ','), ('hidromasaje', 'NN'), ('exterior', 'RB'), ('agradable', 'JJ'), (',', ','), ('en', 'FW'), ('general', 'JJ'), ('todos', 'NN'), ('los', 'NN'), ('espacios', 'JJ'), ('exteriores', 'VBZ'), ('muy', 'JJ'), ('bien', 'NN'), ('.', '.'), ('Recomendación', 'NNP'), ('no', 'DT'), ('olvidarse', 'NN'), ('de', 'IN'), ('REPELENTE', 'NNP'), ('.', '.'), ('Tv', 'NN'), ('un', 'JJ'), ('poco', 'NN'), ('pequeña', 'NN'), (',', ','), ('no', 'DT'), ('tenga', 'JJ'), ('crema', 'NN'), ('de', 'IN'), ('enjuague', 'FW'), ('para', 'NN'), ('el', 'NN'), ('cabello', 'NN'), ('.', '.')]","[('Agradable', 'PROPN', 'Agradable'), ('lugar', 'NOUN', 'lugar'), (',', 'PUNCT', ','), ('muy', 'ADV', 'mucho'), ('buena', 'ADJ', 'buen'), ('atención', 'NOUN', 'atención'), ('de', 'ADP', 'de'), ('las', 'DET', 'el'), ('chicas', 'NOUN', 'chica'), ('de', 'ADP', 'de'), ('recepción', 'NOUN', 'recepción'), ('.', 'PUNCT', '.'), ('Piscina', 'PROPN', 'Piscina'), ('agradezco', 'VERB', 'agradecer'), (',', 'PUNCT', ','), ('hidromasaje', 'NOUN', 'hidromasaje'), ('exterior', 'ADJ', 'exterior'), ('agradable', 'ADJ', 'agradable'), (',', 'PUNCT', ','), ('en', 'ADP', 'en'), ('general', 'NOUN', 'general'), ('todos', 'DET', 'todo'), ('los', 'DET', 'el'), ('espacios', 'NOUN', 'espacio'), ('exteriores', 'ADJ', 'exterior'), ('muy', 'ADV', 'mucho'), ('bien', 'ADV', 'bien'), ('.', 'PUNCT', '.'), ('Recomendación', 'PROPN', 'Recomendación'), ('no', 'ADV', 'no'), ('olvidarse', 'VERB', 'olvidar él'), ('de', 'ADP', 'de'), ('REPELENTE', 'PROPN', 'REPELENTE'), ('.', 'PUNCT', '.'), ('Tv', 'AUX', 'tvir'), ('un', 'DET', 'uno'), ('poco', 'ADV', 'poco'), ('pequeña', 'ADJ', 'pequeño'), (',', 'PUNCT', ','), ('no', 'ADV', 'no'), ('tenga', 'VERB', 'tener'), ('crema', 'NOUN', 'crema'), ('de', 'ADP', 'de'), ('enjuague', 'NOUN', 'enjuague'), ('para', 'ADP', 'para'), ('el', 'DET', 'el'), ('cabello', 'NOUN', 'cabello'), ('.', 'PUNCT', '.')]"
"El personal, en especial Elisabeth que nos trató como si estuviéramos en casa. 
Y las vistas al volcán que son inmejorables",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"El personal, en especial Elisabeth que nos trató como si estuviéramos en casa. 
Y las vistas al volcán que son inmejorables",,"[('El', 'NNP'), ('personal', 'JJ'), (',', ','), ('en', 'JJ'), ('especial', 'JJ'), ('Elisabeth', 'NNP'), ('que', 'NN'), ('nos', 'NNS'), ('trató', 'VBP'), ('como', 'NN'), ('si', 'NN'), ('estuviéramos', 'NN'), ('en', 'IN'), ('casa', 'NN'), ('.', '.'), ('Y', 'NNP'), ('las', 'VBD'), ('vistas', 'NNS'), ('al', 'JJ'), ('volcán', 'NN'), ('que', 'NN'), ('son', 'NN'), ('inmejorables', 'NNS')]","[('El', 'DET', 'el'), ('personal', 'NOUN', 'personal'), (',', 'PUNCT', ','), ('en', 'ADP', 'en'), ('especial', 'ADJ', 'especial'), ('Elisabeth', 'PROPN', 'Elisabeth'), ('que', 'PRON', 'que'), ('nos', 'PRON', 'yo'), ('trató', 'VERB', 'tratar'), ('como', 'SCONJ', 'como'), ('si', 'SCONJ', 'si'), ('estuviéramos', 'VERB', 'estuviser'), ('en', 'ADP', 'en'), ('casa', 'NOUN', 'casa'), ('.', 'PUNCT', '.'), ('\n', 'SPACE', '\n'), ('Y', 'CCONJ', 'y'), ('las', 'DET', 'el'), ('vistas', 'NOUN', 'vista'), ('al', 'ADP', 'al'), ('volcán', 'NOUN', 'volcán'), ('que', 'SCONJ', 'que'), ('son', 'AUX', 'ser'), ('inmejorables', 'ADJ', 'inmejorable')]"
"Ubicación e instalaciones La recepcionista que nos recibio fue la peor de todo el viaje. Poco amable y sin aportar información. Sin embargo, el al dia siguiente encontramos a otra que era todo lo contrario, encantadora",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Ubicación e instalaciones La recepcionista que nos recibio fue la peor de todo el viaje. Poco amable y sin aportar información. Sin embargo, el al dia siguiente encontramos a otra que era todo lo contrario, encantadora",,"[('Ubicación', 'NNP'), ('e', 'NN'), ('instalaciones', 'NNS'), ('La', 'NNP'), ('recepcionista', 'NN'), ('que', 'NN'), ('nos', 'JJ'), ('recibio', 'NN'), ('fue', 'NN'), ('la', 'FW'), ('peor', 'FW'), ('de', 'FW'), ('todo', 'FW'), ('el', 'FW'), ('viaje', 'NN'), ('.', '.'), ('Poco', 'NNP'), ('amable', 'JJ'), ('y', 'NN'), ('sin', 'NN'), ('aportar', 'NN'), ('información', 'NN'), ('.', '.'), ('Sin', 'NNP'), ('embargo', 'NN'), (',', ','), ('el', 'FW'), ('al', 'JJ'), ('dia', 'NN'), ('siguiente', 'NN'), ('encontramos', 'VBD'), ('a', 'DT'), ('otra', 'JJ'), ('que', 'NN'), ('era', 'NN'), ('todo', 'NN'), ('lo', 'NN'), ('contrario', 'NN'), (',', ','), ('encantadora', 'NN')]","[('Ubicación', 'PROPN', 'Ubicación'), ('e', 'CCONJ', 'e'), ('instalaciones', 'NOUN', 'instalación'), ('La', 'DET', 'el'), ('recepcionista', 'NOUN', 'recepcionista'), ('que', 'PRON', 'que'), ('nos', 'PRON', 'yo'), ('recibio', 'VERB', 'recibio'), ('fue', 'AUX', 'ser'), ('la', 'DET', 'el'), ('peor', 'ADJ', 'peor'), ('de', 'ADP', 'de'), ('todo', 'DET', 'todo'), ('el', 'DET', 'el'), ('viaje', 'NOUN', 'viaje'), ('.', 'PUNCT', '.'), ('Poco', 'ADV', 'poco'), ('amable', 'ADJ', 'amable'), ('y', 'CCONJ', 'y'), ('sin', 'ADP', 'sin'), ('aportar', 'VERB', 'aportar'), ('información', 'NOUN', 'información'), ('.', 'PUNCT', '.'), ('Sin', 'ADP', 'sin'), ('embargo', 'NOUN', 'embargo'), (',', 'PUNCT', ','), ('el', 'DET', 'el'), ('al', 'ADP', 'al'), ('dia', 'ADP', 'dia'), ('siguiente', 'ADJ', 'siguiente'), ('encontramos', 'VERB', 'encontrar'), ('a', 'ADP', 'a'), ('otra', 'PRON', 'otro'), ('que', 'SCONJ', 'que'), ('era', 'AUX', 'ser'), ('todo', 'PRON', 'todo'), ('lo', 'PRON', 'él'), ('contrario', 'NOUN', 'contrario'), (',', 'PUNCT', ','), ('encantadora', 'ADJ', 'encantador')]"
Muy cómodo Todo positivo,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Muy cómodo Todo positivo,,"[('Muy', 'NNP'), ('cómodo', 'NN'), ('Todo', 'NNP'), ('positivo', 'NN')]","[('Muy', 'ADV', 'mucho'), ('cómodo', 'ADJ', 'cómodo'), ('Todo', 'PRON', 'todo'), ('positivo', 'ADJ', 'positivo')]"
Muy bien ambiente natural  tiene de todo  hasta animales,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Muy bien ambiente natural  tiene de todo  hasta animales,,"[('Muy', 'NNP'), ('bien', 'NN'), ('ambiente', 'RB'), ('natural', 'JJ'), ('tiene', 'NN'), ('de', 'IN'), ('todo', 'FW'), ('hasta', 'NN'), ('animales', 'NNS')]","[('Muy', 'ADV', 'mucho'), ('bien', 'ADV', 'bien'), ('ambiente', 'ADV', 'ambiente'), ('natural', 'ADJ', 'natural'), (' ', 'SPACE', ' '), ('tiene', 'VERB', 'tener'), ('de', 'ADP', 'de'), ('todo', 'PRON', 'todo'), (' ', 'SPACE', ' '), ('hasta', 'ADP', 'hasta'), ('animales', 'NOUN', 'animal')]"
