puntuacion,texto_positivo,texto_negativo,texto_resena,lugar,categoria,fuente,fecha_recopilacion,url_fuente,idioma_comentario
1010,"Muy bonitas las instalaciones, las aves que andan paseando por el lugar, la comodidad de sus camas y la atención del personal",Todo nos gustó,"Positivo: Muy bonitas las instalaciones, las aves que andan paseando por el lugar, la comodidad de sus camas y la atención del personal | Negativo: Todo nos gustó",Hotel Roca Negra del Arenal,alojamiento,booking,2026-07-27T20:58:00.937304+00:00,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=304142&label=gen173nr-10CA0oM0IVcm9jYS1uZWdyYS1kZWwtYXJlbmFsSApYBGgziAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALYjJ_TBsACAdICJDE1ZTYyNGQ5LWQzZDQtNDQxZi05MmUwLTY3Y2E5M2I2ZGU0ONgCAeACAQ&came_from_hotel_review=1&keep_landing=1&sid=53ca523366e7b971484ab6ac09281b3c&chal_t=1785185881739&force_referer=#tab-reviews,
1010,"El lugar es muy bonito con mucho jardín y animales, el ambiente es muy tranquilo y las camas son muy cómodas",,"Positivo: El lugar es muy bonito con mucho jardín y animales, el ambiente es muy tranquilo y las camas son muy cómodas",Hotel Roca Negra del Arenal,alojamiento,booking,2026-07-27T20:58:00.937304+00:00,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=304142&label=gen173nr-10CA0oM0IVcm9jYS1uZWdyYS1kZWwtYXJlbmFsSApYBGgziAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALYjJ_TBsACAdICJDE1ZTYyNGQ5LWQzZDQtNDQxZi05MmUwLTY3Y2E5M2I2ZGU0ONgCAeACAQ&came_from_hotel_review=1&keep_landing=1&sid=53ca523366e7b971484ab6ac09281b3c&chal_t=1785185881739&force_referer=#tab-reviews,
1010,La calidez del lugar y las personas.,,Positivo: La calidez del lugar y las personas.,Hotel Roca Negra del Arenal,alojamiento,booking,2026-07-27T20:58:00.937304+00:00,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=304142&label=gen173nr-10CA0oM0IVcm9jYS1uZWdyYS1kZWwtYXJlbmFsSApYBGgziAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALYjJ_TBsACAdICJDE1ZTYyNGQ5LWQzZDQtNDQxZi05MmUwLTY3Y2E5M2I2ZGU0ONgCAeACAQ&came_from_hotel_review=1&keep_landing=1&sid=53ca523366e7b971484ab6ac09281b3c&chal_t=1785185881739&force_referer=#tab-reviews,
1010,El jacuzzi y la piscina. La ubicación y la atención de Eugenia. La zona de café.,,Positivo: El jacuzzi y la piscina. La ubicación y la atención de Eugenia. La zona de café.,Hotel Roca Negra del Arenal,alojamiento,booking,2026-07-27T20:58:00.937304+00:00,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=304142&label=gen173nr-10CA0oM0IVcm9jYS1uZWdyYS1kZWwtYXJlbmFsSApYBGgziAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALYjJ_TBsACAdICJDE1ZTYyNGQ5LWQzZDQtNDQxZi05MmUwLTY3Y2E5M2I2ZGU0ONgCAeACAQ&came_from_hotel_review=1&keep_landing=1&sid=53ca523366e7b971484ab6ac09281b3c&chal_t=1785185881739&force_referer=#tab-reviews,
1010,Todas las zonas impolutas y muy limpias. El personal es maravilloso,,Positivo: Todas las zonas impolutas y muy limpias. El personal es maravilloso,Hotel Roca Negra del Arenal,alojamiento,booking,2026-07-27T20:58:00.937304+00:00,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=304142&label=gen173nr-10CA0oM0IVcm9jYS1uZWdyYS1kZWwtYXJlbmFsSApYBGgziAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALYjJ_TBsACAdICJDE1ZTYyNGQ5LWQzZDQtNDQxZi05MmUwLTY3Y2E5M2I2ZGU0ONgCAeACAQ&came_from_hotel_review=1&keep_landing=1&sid=53ca523366e7b971484ab6ac09281b3c&chal_t=1785185881739&force_referer=#tab-reviews,
8.08,"Agradable lugar, muy buena atención de las chicas de recepción. Piscina agradezco, hidromasaje exterior agradable, en general todos los espacios exteriores muy bien. Recomendación no olvidarse de REPELENTE.","Tv un poco pequeña, no tenga crema de enjuague para el cabello.","Positivo: Agradable lugar, muy buena atención de las chicas de recepción. Piscina agradezco, hidromasaje exterior agradable, en general todos los espacios exteriores muy bien. Recomendación no olvidarse de REPELENTE. | Negativo: Tv un poco pequeña, no tenga crema de enjuague para el cabello.",Hotel Roca Negra del Arenal,alojamiento,booking,2026-07-27T20:58:00.937304+00:00,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=304142&label=gen173nr-10CA0oM0IVcm9jYS1uZWdyYS1kZWwtYXJlbmFsSApYBGgziAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALYjJ_TBsACAdICJDE1ZTYyNGQ5LWQzZDQtNDQxZi05MmUwLTY3Y2E5M2I2ZGU0ONgCAeACAQ&came_from_hotel_review=1&keep_landing=1&sid=53ca523366e7b971484ab6ac09281b3c&chal_t=1785185881739&force_referer=#tab-reviews,
1010,"El personal, en especial Elisabeth que nos trató como si estuviéramos en casa. 
Y las vistas al volcán que son inmejorables",,"Positivo: El personal, en especial Elisabeth que nos trató como si estuviéramos en casa. 
Y las vistas al volcán que son inmejorables",Hotel Roca Negra del Arenal,alojamiento,booking,2026-07-27T20:58:00.937304+00:00,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=304142&label=gen173nr-10CA0oM0IVcm9jYS1uZWdyYS1kZWwtYXJlbmFsSApYBGgziAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALYjJ_TBsACAdICJDE1ZTYyNGQ5LWQzZDQtNDQxZi05MmUwLTY3Y2E5M2I2ZGU0ONgCAeACAQ&came_from_hotel_review=1&keep_landing=1&sid=53ca523366e7b971484ab6ac09281b3c&chal_t=1785185881739&force_referer=#tab-reviews,
9.09,Ubicación e instalaciones,"La recepcionista que nos recibio fue la peor de todo el viaje. Poco amable y sin aportar información. Sin embargo, el al dia siguiente encontramos a otra que era todo lo contrario, encantadora","Positivo: Ubicación e instalaciones | Negativo: La recepcionista que nos recibio fue la peor de todo el viaje. Poco amable y sin aportar información. Sin embargo, el al dia siguiente encontramos a otra que era todo lo contrario, encantadora",Hotel Roca Negra del Arenal,alojamiento,booking,2026-07-27T20:58:00.937304+00:00,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=304142&label=gen173nr-10CA0oM0IVcm9jYS1uZWdyYS1kZWwtYXJlbmFsSApYBGgziAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALYjJ_TBsACAdICJDE1ZTYyNGQ5LWQzZDQtNDQxZi05MmUwLTY3Y2E5M2I2ZGU0ONgCAeACAQ&came_from_hotel_review=1&keep_landing=1&sid=53ca523366e7b971484ab6ac09281b3c&chal_t=1785185881739&force_referer=#tab-reviews,
1010,Muy cómodo,Todo positivo,Positivo: Muy cómodo | Negativo: Todo positivo,Hotel Roca Negra del Arenal,alojamiento,booking,2026-07-27T20:58:00.937304+00:00,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=304142&label=gen173nr-10CA0oM0IVcm9jYS1uZWdyYS1kZWwtYXJlbmFsSApYBGgziAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALYjJ_TBsACAdICJDE1ZTYyNGQ5LWQzZDQtNDQxZi05MmUwLTY3Y2E5M2I2ZGU0ONgCAeACAQ&came_from_hotel_review=1&keep_landing=1&sid=53ca523366e7b971484ab6ac09281b3c&chal_t=1785185881739&force_referer=#tab-reviews,
1010,Muy bien ambiente natural  tiene de todo  hasta animales,,Positivo: Muy bien ambiente natural  tiene de todo  hasta animales,Hotel Roca Negra del Arenal,alojamiento,booking,2026-07-27T20:58:00.937304+00:00,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=304142&label=gen173nr-10CA0oM0IVcm9jYS1uZWdyYS1kZWwtYXJlbmFsSApYBGgziAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALYjJ_TBsACAdICJDE1ZTYyNGQ5LWQzZDQtNDQxZi05MmUwLTY3Y2E5M2I2ZGU0ONgCAeACAQ&came_from_hotel_review=1&keep_landing=1&sid=53ca523366e7b971484ab6ac09281b3c&chal_t=1785185881739&force_referer=#tab-reviews,
8.08,La ubicación fue lo mejor a pesar del ruido de la carretera que estaba al costado de las habitaciones,"El trato del personal que atiende en el comedor es pésimo y por 8 dólares el desayuno, mejor lo evito y como fuera.","Positivo: La ubicación fue lo mejor a pesar del ruido de la carretera que estaba al costado de las habitaciones | Negativo: El trato del personal que atiende en el comedor es pésimo y por 8 dólares el desayuno, mejor lo evito y como fuera.",Hotel Roca Negra del Arenal,alojamiento,booking,2026-07-27T20:58:00.937304+00:00,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=304142&label=gen173nr-10CA0oM0IVcm9jYS1uZWdyYS1kZWwtYXJlbmFsSApYBGgziAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALYjJ_TBsACAdICJDE1ZTYyNGQ5LWQzZDQtNDQxZi05MmUwLTY3Y2E5M2I2ZGU0ONgCAeACAQ&came_from_hotel_review=1&keep_landing=1&sid=53ca523366e7b971484ab6ac09281b3c&chal_t=1785185881739&force_referer=#tab-reviews,
9.09,"El hotel superó las expectativas, muy bonitas las instalaciones con espacios separados para mayor privacidad y mucha vegetación, los desayunos muy buenos; y las habitaciones super cómodas.",Como un punto de mejora en las habitaciones donde el inodoro esta aparte de la ducha podrían colocar una puerta a la ducha y así poder usar ambos espacios simultáneamente.,"Positivo: El hotel superó las expectativas, muy bonitas las instalaciones con espacios separados para mayor privacidad y mucha vegetación, los desayunos muy buenos; y las habitaciones super cómodas. | Negativo: Como un punto de mejora en las habitaciones donde el inodoro esta aparte de la ducha podrían colocar una puerta a la ducha y así poder usar ambos espacios simultáneamente.",Hotel Roca Negra del Arenal,alojamiento,booking,2026-07-27T20:58:00.937304+00:00,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=304142&label=gen173nr-10CA0oM0IVcm9jYS1uZWdyYS1kZWwtYXJlbmFsSApYBGgziAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALYjJ_TBsACAdICJDE1ZTYyNGQ5LWQzZDQtNDQxZi05MmUwLTY3Y2E5M2I2ZGU0ONgCAeACAQ&came_from_hotel_review=1&keep_landing=1&sid=53ca523366e7b971484ab6ac09281b3c&chal_t=1785185881739&force_referer=#tab-reviews,
1010,El ambiente y el personal,Todo excelente,Positivo: El ambiente y el personal | Negativo: Todo excelente,Hotel Roca Negra del Arenal,alojamiento,booking,2026-07-27T20:58:00.937304+00:00,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=304142&label=gen173nr-10CA0oM0IVcm9jYS1uZWdyYS1kZWwtYXJlbmFsSApYBGgziAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALYjJ_TBsACAdICJDE1ZTYyNGQ5LWQzZDQtNDQxZi05MmUwLTY3Y2E5M2I2ZGU0ONgCAeACAQ&came_from_hotel_review=1&keep_landing=1&sid=53ca523366e7b971484ab6ac09281b3c&chal_t=1785185881739&force_referer=#tab-reviews,
1010,"Desde la habitación hemos visto unas vistas maravillosas al volcán, con suerte despejado. Los colibrí comiendo en las flores justo delante nuestra..tucanes y el personal muy agradable",,"Positivo: Desde la habitación hemos visto unas vistas maravillosas al volcán, con suerte despejado. Los colibrí comiendo en las flores justo delante nuestra..tucanes y el personal muy agradable",Hotel Roca Negra del Arenal,alojamiento,booking,2026-07-27T20:58:00.937304+00:00,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=304142&label=gen173nr-10CA0oM0IVcm9jYS1uZWdyYS1kZWwtYXJlbmFsSApYBGgziAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALYjJ_TBsACAdICJDE1ZTYyNGQ5LWQzZDQtNDQxZi05MmUwLTY3Y2E5M2I2ZGU0ONgCAeACAQ&came_from_hotel_review=1&keep_landing=1&sid=53ca523366e7b971484ab6ac09281b3c&chal_t=1785185881739&force_referer=#tab-reviews,
1010,Increíble todo! El personal un AMOR Asienore dispuestos a colaborar! El hotel SÚPER relajado! Impecable con una lugar para tomar un café o té cortesía del alojamiento divino! Con animales a tu alrededores disfrutable al máximo!,NADA,Positivo: Increíble todo! El personal un AMOR Asienore dispuestos a colaborar! El hotel SÚPER relajado! Impecable con una lugar para tomar un café o té cortesía del alojamiento divino! Con animales a tu alrededores disfrutable al máximo! | Negativo: NADA,Hotel Roca Negra del Arenal,alojamiento,booking,2026-07-27T20:58:00.937304+00:00,https://www.booking.com/hotel/cr/roca-negra-del-arenal.es.html?aid=304142&label=gen173nr-10CA0oM0IVcm9jYS1uZWdyYS1kZWwtYXJlbmFsSApYBGgziAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALYjJ_TBsACAdICJDE1ZTYyNGQ5LWQzZDQtNDQxZi05MmUwLTY3Y2E5M2I2ZGU0ONgCAeACAQ&came_from_hotel_review=1&keep_landing=1&sid=53ca523366e7b971484ab6ac09281b3c&chal_t=1785185881739&force_referer=#tab-reviews,
